# gunzip -c exp/tri1/decode/depth_stats_tmp.*.gz | steps/diagnostic/analyze_lattice_depth_stats.py exp/tri1/graph 
# Started at Mon May 30 15:37:28 IST 2022
#
The total amount of data analyzed assuming 100 frames per second is 0.0 hours
Overall, lattice depth (10,50,90-percentile)=(1,1,2) and mean=1.4
Nonsilence phones as a group account for 80.0% of frames, with lattice depth (10,50,90-percentile)=(1,1,2) and mean=1.3
Phone sil accounts for 20.0% of frames, with lattice depth (10,50,90-percentile)=(1,1,3) and mean=1.5
Phone n_E accounts for 8.7% of frames, with lattice depth (10,50,90-percentile)=(1,1,2) and mean=1.3
Phone ey_B accounts for 6.5% of frames, with lattice depth (10,50,90-percentile)=(1,1,2) and mean=1.2
Phone f_B accounts for 5.3% of frames, with lattice depth (10,50,90-percentile)=(1,1,1) and mean=1.1
Phone ay_I accounts for 5.2% of frames, with lattice depth (10,50,90-percentile)=(1,1,3) and mean=1.4
Phone ow_E accounts for 4.8% of frames, with lattice depth (10,50,90-percentile)=(1,1,2) and mean=1.2
Phone ah_I accounts for 4.6% of frames, with lattice depth (10,50,90-percentile)=(1,1,2) and mean=1.3
Phone uw_E accounts for 4.3% of frames, with lattice depth (10,50,90-percentile)=(1,1,2) and mean=1.5
Phone t_E accounts for 4.2% of frames, with lattice depth (10,50,90-percentile)=(1,1,2) and mean=1.2
Phone iy_E accounts for 4.1% of frames, with lattice depth (10,50,90-percentile)=(1,2,3) and mean=1.8
Phone r_I accounts for 3.7% of frames, with lattice depth (10,50,90-percentile)=(1,1,3) and mean=1.6
Phone ao_I accounts for 3.6% of frames, with lattice depth (10,50,90-percentile)=(1,1,2) and mean=1.1
Phone v_E accounts for 3.0% of frames, with lattice depth (10,50,90-percentile)=(1,1,1) and mean=1.1
Phone w_I accounts for 2.2% of frames, with lattice depth (10,50,90-percentile)=(1,1,1) and mean=1.0
Phone eh_I accounts for 2.2% of frames, with lattice depth (10,50,90-percentile)=(1,1,1) and mean=1.1
Phone r_E accounts for 2.2% of frames, with lattice depth (10,50,90-percentile)=(1,1,2) and mean=1.3
Phone hh_B accounts for 2.1% of frames, with lattice depth (10,50,90-percentile)=(1,1,1) and mean=1.0
Phone t_B accounts for 1.9% of frames, with lattice depth (10,50,90-percentile)=(1,1,2) and mean=1.5
Phone th_B accounts for 1.8% of frames, with lattice depth (10,50,90-percentile)=(1,2,3) and mean=1.8
Phone v_I accounts for 1.8% of frames, with lattice depth (10,50,90-percentile)=(1,1,1) and mean=1.1
Phone n_B accounts for 1.6% of frames, with lattice depth (10,50,90-percentile)=(1,2,3) and mean=1.8
Phone s_B accounts for 1.6% of frames, with lattice depth (10,50,90-percentile)=(1,1,2) and mean=1.2
Phone ih_I accounts for 1.5% of frames, with lattice depth (10,50,90-percentile)=(1,1,3) and mean=1.3
Phone z_B accounts for 1.3% of frames, with lattice depth (10,50,90-percentile)=(1,1,1) and mean=1.1
Phone w_B accounts for 1.2% of frames, with lattice depth (10,50,90-percentile)=(1,2,3) and mean=1.8
# Accounting: time=0 threads=1
# Ended (code 0) at Mon May 30 15:37:28 IST 2022, elapsed time 0 seconds
